window_id,side,buy_price,buy_time,sell_price,sell_time,pnl_cents
25_11_04_13_00_13_15,DOWN,49,33.852,29,64.037,-20
25_11_04_13_00_13_15,DOWN,80,707.251,48,737.542,-32
25_11_04_13_00_13_15,UP,40,764.977,16,795.853,-24
25_11_04_13_00_13_15,UP,4,831.426,0,852.716,-4
25_11_04_14_00_14_15,UP,47,64.858,31,95.155,-16
25_11_04_14_00_14_15,DOWN,77,245.31,64,275.491,-13
25_11_04_14_00_14_15,DOWN,67,300.094,52,330.109,-15
25_11_04_14_00_14_15,DOWN,60,392.09,36,422.21,-24
25_11_04_14_00_14_15,DOWN,43,441.157,26,472.009,-17
25_11_04_14_00_14_15,DOWN,40,609.731,30,639.975,-10
25_11_04_14_00_14_15,UP,84,847.215,63,877.396,-21
25_11_04_15_00_15_15,UP,44,728.088,24,760.33,-20
25_11_04_15_00_15_15,UP,20,831.516,0,861.589,-20
25_11_04_16_00_16_15,DOWN,44,3.932,24,34.183,-20
25_11_04_16_00_16_15,UP,36,695.871,13,726.334,-23
25_11_04_16_00_16_15,DOWN,65,776.213,21,806.399,-44
25_11_04_16_00_16_15,UP,70,825.026,18,855.275,-52
25_11_04_18_00_18_15,DOWN,69,322.91,60,353.472,-9
25_11_04_18_00_18_15,UP,44,397.935,24,428.288,-20
25_11_04_19_00_19_15,DOWN,49,64.033,43,94.304,-6
25_11_04_19_00_19_15,DOWN,62,364.217,55,394.273,-7
25_11_04_19_00_19_15,DOWN,80,793.281,61,823.56,-19
25_11_04_19_00_19_15,DOWN,69,875.311,3,899.947,-66
25_11_04_20_00_20_15,UP,46,162.577,32,192.74,-14
25_11_04_20_00_20_15,DOWN,63,315.912,51,346.584,-12
25_11_04_20_00_20_15,DOWN,59,402.062,40,432.129,-19
25_11_04_20_00_20_15,DOWN,70,631.321,42,661.394,-28
25_11_04_20_00_20_15,UP,21,809.01,13,840.921,-8
25_11_04_20_15_20_30,UP,53,900.991,49,900.991,-4
25_11_04_21_00_21_15,UP,54,64.064,31,94.614,-23
25_11_04_21_00_21_15,UP,45,308.725,35,338.893,-10
25_11_04_21_00_21_15,UP,6,845.966,0,879.191,-6
25_11_04_23_00_23_15,DOWN,64,73.54,51,103.648,-13
25_11_04_23_00_23_15,DOWN,52,224.376,44,254.579,-8
25_11_04_23_00_23_15,DOWN,41,301.808,20,332.141,-21
25_11_04_23_00_23_15,UP,17,626.745,11,657.298,-6
25_11_04_23_00_23_15,DOWN,85,897.029,80,898.728,-5
25_11_05_00_00_00_15,DOWN,54,42.173,25,72.467,-29
25_11_05_00_00_00_15,UP,70,175.681,61,206.123,-9
25_11_05_01_00_01_15,UP,39,131.435,27,161.487,-12
25_11_05_01_00_01_15,UP,25,238.84,14,268.848,-11
25_11_05_02_00_02_15,DOWN,49,10.372,31,40.536,-18
25_11_05_02_00_02_15,DOWN,27,69.792,15,100.299,-12
25_11_05_02_00_02_15,DOWN,2,807.05,0,832.592,-2
25_11_05_02_15_02_30,DOWN,54,900.8,52,900.903,-2
25_11_05_03_00_03_15,UP,50,31.058,41,61.22,-9
25_11_05_03_00_03_15,DOWN,47,261.018,35,291.195,-12
25_11_05_03_00_03_15,UP,60,470.291,27,500.308,-33
25_11_05_03_00_03_15,DOWN,52,545.846,34,576.663,-18
25_11_05_03_00_03_15,UP,63,672.87,38,703.037,-25
25_11_05_03_00_03_15,UP,60,836.453,26,866.508,-34
25_11_05_03_00_03_15,DOWN,32,869.273,0,898.552,-32
25_11_05_04_00_04_15,UP,62,173.512,37,203.97,-25
25_11_05_04_00_04_15,DOWN,54,210.412,44,240.556,-10
25_11_05_04_00_04_15,DOWN,55,265.75,44,296.909,-11
25_11_05_04_00_04_15,DOWN,69,468.64,36,499.838,-33
25_11_05_04_00_04_15,UP,49,542.877,34,573.559,-15
25_11_05_04_00_04_15,UP,13,776.377,3,806.393,-10
25_11_05_05_00_05_15,DOWN,53,0.627,50,30.789,-3
